ID;Nationality;Age;BookingsCanceled;PersonsNights;RoomNights;DistributionChannel;MarketSegment;Recomendation
248;FRA;42;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
249;FRA;34;0;6;3;Travel Agent/Operator;Travel Agent/Operator;Yes
250;FRA;56;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
251;FRA;30;0;6;3;Travel Agent/Operator;Travel Agent/Operator;Yes
252;FRA;30;0;16;8;Travel Agent/Operator;Other;Yes
253;FRA;32;0;0;0;Travel Agent/Operator;Other;No
254;ROU;30;0;22;11;Travel Agent/Operator;Travel Agent/Operator;Yes
255;ROU;58;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
256;ESP;31;0;4;2;Travel Agent/Operator;Travel Agent/Operator;Yes
257;ESP;28;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
258;FRA;58;0;6;3;Travel Agent/Operator;Travel Agent/Operator;Yes
259;FRA;54;0;6;3;Travel Agent/Operator;Travel Agent/Operator;Yes
260;FRA;60;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
261;PRT;38;0;8;4;Travel Agent/Operator;Travel Agent/Operator;Yes
262;ITA;34;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
263;GBR;65;0;6;3;Travel Agent/Operator;Travel Agent/Operator;Yes
264;GBR;65;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
265;PRT;34;0;8;4;Travel Agent/Operator;Travel Agent/Operator;Yes
266;PRT;36;0;3;3;Direct;Direct;No
267;PRT;21;0;4;2;Direct;Complementary;Yes
268;PRT;46;0;6;3;Travel Agent/Operator;Travel Agent/Operator;Yes
269;FRA;45;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
270;FRA;56;0;8;4;Travel Agent/Operator;Travel Agent/Operator;Yes
271;BIH;33;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
272;PRT;22;0;2;1;Travel Agent/Operator;Travel Agent/Operator;Yes
273;FRA;65;0;12;6;Travel Agent/Operator;Other;Yes
274;FRA;68;0;0;0;Travel Agent/Operator;Other;No
275;ESP;43;0;10;5;Travel Agent/Operator;Other;Yes
276;ESP;35;0;0;0;Travel Agent/Operator;Other;No
277;CHE;28;0;10;5;Direct;Direct;Yes
278;ESP;29;0;0;0;Direct;Direct;No
279;ESP;44;0;10;5;Travel Agent/Operator;Other;Yes
280;ESP;43;0;0;0;Travel Agent/Operator;Other;No
281;ITA;71;0;6;3;Travel Agent/Operator;Groups;Yes
282;ITA;69;0;0;0;Travel Agent/Operator;Groups;No
283;PRT;43;0;6;3;Travel Agent/Operator;Groups;Yes
284;FRA;55;0;6;3;Travel Agent/Operator;Travel Agent/Operator;Yes
285;FRA;51;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
286;PRT;32;0;6;3;Travel Agent/Operator;Groups;Yes
287;ITA;65;0;6;3;Travel Agent/Operator;Groups;Yes
288;ITA;74;0;0;0;Travel Agent/Operator;Groups;No
289;PRT;31;0;6;3;Travel Agent/Operator;Groups;Yes
290;PRT;21;0;3;3;Travel Agent/Operator;Groups;Yes
291;ITA;43;0;0;0;Travel Agent/Operator;Groups;No
292;PRT;22;0;6;3;Travel Agent/Operator;Groups;Yes
293;PRT;19;0;0;0;Travel Agent/Operator;Groups;No
294;PRT;58;0;6;3;Travel Agent/Operator;Groups;Yes
295;PRT;59;0;0;0;Travel Agent/Operator;Groups;No
296;PRT;54;0;6;3;Travel Agent/Operator;Groups;Yes
297;PRT;50;0;0;0;Travel Agent/Operator;Groups;No
298;PRT;78;0;6;3;Travel Agent/Operator;Groups;Yes
299;PRT;77;0;0;0;Travel Agent/Operator;Groups;No
300;PRT;68;0;6;3;Travel Agent/Operator;Groups;Yes
301;PRT;71;0;0;0;Travel Agent/Operator;Groups;No
302;PRT;31;0;8;4;Travel Agent/Operator;Other;Yes
303;PRT;31;0;8;4;Travel Agent/Operator;Other;Yes
304;BRA;41;0;15;5;Travel Agent/Operator;Other;Yes
305;BRA;21;0;0;0;Travel Agent/Operator;Other;No
306;BRA;42;0;0;0;Travel Agent/Operator;Other;No
307;ITA;58;0;3;3;Travel Agent/Operator;Groups;Yes
308;ITA;60;0;6;3;Travel Agent/Operator;Groups;Yes
309;ITA;65;0;0;0;Travel Agent/Operator;Groups;No
310;ITA;66;0;6;3;Travel Agent/Operator;Groups;Yes
311;ITA;63;0;0;0;Travel Agent/Operator;Groups;No
312;ITA;44;0;3;3;Travel Agent/Operator;Groups;Yes
313;ITA;61;0;3;3;Travel Agent/Operator;Groups;Yes
314;ITA;63;0;3;3;Travel Agent/Operator;Groups;Yes
315;ITA;68;0;6;3;Travel Agent/Operator;Groups;Yes
316;ITA;59;0;0;0;Travel Agent/Operator;Groups;No
317;ITA;65;0;6;3;Travel Agent/Operator;Groups;Yes
318;ITA;69;0;0;0;Travel Agent/Operator;Groups;No
319;ITA;41;0;6;3;Travel Agent/Operator;Groups;Yes
320;ITA;38;0;0;0;Travel Agent/Operator;Groups;No
321;ITA;67;0;3;3;Travel Agent/Operator;Groups;Yes
322;ITA;74;0;6;3;Travel Agent/Operator;Groups;Yes
323;PRT;43;0;3;3;Travel Agent/Operator;Groups;Yes
324;ITA;42;0;6;3;Travel Agent/Operator;Groups;Yes
325;ITA;14;0;0;0;Travel Agent/Operator;Groups;No
326;ITA;39;0;6;3;Travel Agent/Operator;Groups;Yes
327;ITA;71;0;6;3;Travel Agent/Operator;Groups;Yes
328;ITA;52;0;6;3;Travel Agent/Operator;Groups;Yes
329;ITA;76;0;0;0;Travel Agent/Operator;Groups;No
330;ITA;58;0;6;3;Travel Agent/Operator;Groups;Yes
331;ITA;50;0;0;0;Travel Agent/Operator;Groups;No
332;ITA;72;0;3;3;Travel Agent/Operator;Groups;Yes
333;ITA;47;0;6;3;Travel Agent/Operator;Groups;Yes
334;ITA;11;0;0;0;Travel Agent/Operator;Groups;No
335;DEU;30;0;12;6;Travel Agent/Operator;Travel Agent/Operator;Yes
336;DEU;25;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
337;ITA;75;0;0;0;Travel Agent/Operator;Groups;No
338;ITA;65;0;6;3;Travel Agent/Operator;Groups;Yes
339;ITA;60;0;0;0;Travel Agent/Operator;Groups;No
340;PRT;38;0;6;3;Travel Agent/Operator;Groups;Yes
341;PRT;43;0;0;0;Travel Agent/Operator;Groups;No
342;PRT;21;0;6;3;Travel Agent/Operator;Groups;Yes
343;PRT;22;0;6;3;Travel Agent/Operator;Groups;Yes
344;ESP;57;0;6;3;Travel Agent/Operator;Travel Agent/Operator;Yes
345;ESP;53;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
346;PRT;43;0;6;3;Travel Agent/Operator;Groups;Yes
347;ITA;59;0;6;3;Travel Agent/Operator;Groups;Yes
348;ITA;51;0;0;0;Travel Agent/Operator;Groups;No
349;ITA;57;0;6;3;Travel Agent/Operator;Groups;Yes
350;ITA;57;0;0;0;Travel Agent/Operator;Groups;No
351;PRT;21;0;6;3;Travel Agent/Operator;Groups;Yes
352;PRT;72;0;0;0;Travel Agent/Operator;Groups;No
353;PRT;13;0;14;7;Travel Agent/Operator;Other;Yes
354;PRT;15;0;0;0;Travel Agent/Operator;Other;No
355;PRT;48;0;14;7;Travel Agent/Operator;Other;Yes
356;PRT;45;0;0;0;Travel Agent/Operator;Other;No
357;PRT;73;0;6;3;Travel Agent/Operator;Groups;Yes
358;PRT;72;0;0;0;Travel Agent/Operator;Groups;No
359;PRT;68;0;6;3;Travel Agent/Operator;Groups;Yes
360;PRT;72;0;0;0;Travel Agent/Operator;Groups;No
361;PRT;41;0;3;3;Travel Agent/Operator;Groups;Yes
362;PRT;78;0;0;0;Travel Agent/Operator;Groups;No
363;PRT;83;0;6;3;Travel Agent/Operator;Groups;Yes
364;PRT;73;0;0;0;Travel Agent/Operator;Groups;No
365;CHE;54;0;30;10;Travel Agent/Operator;Travel Agent/Operator;Yes
366;CHE;43;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
367;CHE;21;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
368;PRT;30;0;12;4;Travel Agent/Operator;Other;Yes
369;FRA;25;0;6;3;Travel Agent/Operator;Travel Agent/Operator;Yes
370;FRA;24;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
371;ITA;70;0;6;3;Travel Agent/Operator;Groups;Yes
372;ITA;67;0;0;0;Travel Agent/Operator;Groups;No
373;PRT;21;0;6;3;Travel Agent/Operator;Travel Agent/Operator;Yes
374;ESP;27;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
375;PRT;67;0;1;1;Corporate;Corporate;Yes
376;PRT;43;0;2;1;Direct;Direct;Yes
377;PRT;25;0;0;0;Direct;Direct;No
378;ITA;55;0;3;3;Travel Agent/Operator;Groups;Yes
379;PRT;44;0;22;18;Corporate;Corporate;Yes
380;USA;72;0;1;1;Travel Agent/Operator;Travel Agent/Operator;Yes
381;DEU;68;0;6;3;Travel Agent/Operator;Travel Agent/Operator;Yes
382;DEU;68;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
383;DEU;55;0;6;3;Travel Agent/Operator;Travel Agent/Operator;Yes
384;DEU;64;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
385;PRT;28;0;2;1;Travel Agent/Operator;Travel Agent/Operator;Yes
386;PRT;30;0;6;3;Travel Agent/Operator;Travel Agent/Operator;Yes
387;FRA;66;0;10;5;Travel Agent/Operator;Travel Agent/Operator;Yes
388;FRA;65;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
389;FIN;37;0;10;5;Travel Agent/Operator;Travel Agent/Operator;Yes
390;FIN;47;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
391;ITA;25;0;12;6;Travel Agent/Operator;Other;Yes
392;ITA;56;0;0;0;Travel Agent/Operator;Other;No
393;FRA;66;0;10;5;Travel Agent/Operator;Travel Agent/Operator;Yes
394;FRA;56;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
395;DEU;27;0;6;3;Travel Agent/Operator;Travel Agent/Operator;Yes
396;DEU;31;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
397;IRL;50;0;6;3;Direct;Direct;Yes
398;IRL;50;0;0;0;Direct;Direct;No
399;PRT;44;0;2;1;Direct;Direct;Yes
400;PRT;33;0;2;1;Direct;Direct;Yes
401;DEU;58;0;10;5;Travel Agent/Operator;Travel Agent/Operator;Yes
402;DEU;50;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
403;FRA;38;0;3;3;Corporate;Corporate;Yes
404;PRT;61;0;8;4;Travel Agent/Operator;Other;Yes
405;AUT;58;0;0;0;Travel Agent/Operator;Other;No
406;FRA;63;0;3;3;Corporate;Corporate;Yes
407;PRT;39;0;2;1;Direct;Direct;Yes
408;PRT;38;0;0;0;Direct;Direct;No
409;PRT;45;0;2;1;Direct;Direct;Yes
410;ESP;49;0;2;1;Direct;Direct;Yes
411;PRT;31;0;14;7;Travel Agent/Operator;Travel Agent/Operator;Yes
412;ESP;56;0;2;2;Direct;Direct;Yes
413;ESP;44;0;4;4;Corporate;Corporate;Yes
414;PRT;52;0;8;4;Travel Agent/Operator;Groups;Yes
415;FRA;31;0;8;4;Travel Agent/Operator;Travel Agent/Operator;Yes
416;FRA;35;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
417;AGO;52;0;2;1;Direct;Direct;Yes
418;AGO;18;0;0;0;Direct;Direct;No
419;FRA;41;0;6;3;Travel Agent/Operator;Travel Agent/Operator;Yes
420;ESP;41;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
421;USA;68;0;2;1;Travel Agent/Operator;Travel Agent/Operator;Yes
422;USA;68;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
423;PRT;31;0;2;2;Travel Agent/Operator;Travel Agent/Operator;Yes
424;PRT;53;0;1;1;Travel Agent/Operator;Travel Agent/Operator;Yes
425;AGO;42;0;2;1;Direct;Direct;Yes
426;PRT;35;0;4;2;Travel Agent/Operator;Travel Agent/Operator;Yes
427;PRT;75;0;8;4;Travel Agent/Operator;Travel Agent/Operator;Yes
428;FRA;69;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
429;PRT;22;0;14;14;Direct;Complementary;Yes
430;PRT;34;0;2;1;Travel Agent/Operator;Other;Yes
431;FRA;56;0;10;5;Travel Agent/Operator;Travel Agent/Operator;Yes
432;FRA;45;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
433;DEU;67;0;12;6;Travel Agent/Operator;Travel Agent/Operator;Yes
434;DEU;53;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
435;IRL;50;0;4;2;Direct;Direct;Yes
436;IRL;12;0;0;0;Direct;Direct;No
437;IRL;15;0;0;0;Direct;Direct;No
438;IRL;11;0;0;0;Direct;Direct;No
439;PRT;23;0;6;2;Direct;Direct;Yes
440;ROU;57;0;4;2;Travel Agent/Operator;Travel Agent/Operator;Yes
441;ROU;51;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
442;ROU;43;0;4;2;Travel Agent/Operator;Travel Agent/Operator;Yes
443;ROU;40;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
444;ROU;47;0;4;2;Travel Agent/Operator;Travel Agent/Operator;Yes
445;ROU;39;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
446;FRA;54;0;12;6;Travel Agent/Operator;Travel Agent/Operator;Yes
447;FRA;52;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
448;AGO;52;0;2;1;Direct;Direct;Yes
449;NLD;36;0;10;5;Travel Agent/Operator;Travel Agent/Operator;Yes
450;NLD;32;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
451;PRT;45;0;4;2;Direct;Complementary;Yes
452;PRT;72;0;0;0;Direct;Complementary;No
453;USA;32;0;2;1;Travel Agent/Operator;Other;Yes
454;USA;45;0;0;0;Travel Agent/Operator;Other;No
455;PRT;56;0;1;1;Corporate;Corporate;Yes
456;PRT;65;0;2;1;Corporate;Corporate;Yes
457;PRT;41;0;6;3;Travel Agent/Operator;Travel Agent/Operator;Yes
458;FRA;39;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
459;CAN;51;0;6;3;Travel Agent/Operator;Travel Agent/Operator;Yes
460;FRA;53;0;10;5;Travel Agent/Operator;Travel Agent/Operator;Yes
461;FRA;57;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
462;DEU;39;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
463;PRT;30;0;5;5;Direct;Direct;Yes
464;GBR;64;0;6;3;Travel Agent/Operator;Travel Agent/Operator;Yes
465;GBR;63;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
466;BEL;62;0;8;4;Travel Agent/Operator;Travel Agent/Operator;Yes
467;BEL;54;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
468;GBR;41;0;3;3;Travel Agent/Operator;Travel Agent/Operator;Yes
469;FRA;51;0;10;5;Travel Agent/Operator;Other;Yes
470;FRA;64;0;0;0;Travel Agent/Operator;Other;No
471;PRT;64;0;1;1;Direct;Direct;Yes
472;PRT;41;0;1;1;Direct;Direct;Yes
473;PRT;58;0;2;1;Travel Agent/Operator;Other;Yes
474;PRT;39;0;0;0;Travel Agent/Operator;Other;No
475;PRT;58;0;6;3;Travel Agent/Operator;Travel Agent/Operator;No
476;HUN;29;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
477;DEU;55;0;5;5;Travel Agent/Operator;Travel Agent/Operator;Yes
478;ZAF;51;0;12;6;Travel Agent/Operator;Other;Yes
479;PRT;51;0;0;0;Travel Agent/Operator;Other;No
480;POL;59;0;8;4;Travel Agent/Operator;Travel Agent/Operator;Yes
481;POL;56;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
482;PRT;60;0;4;4;Direct;Direct;Yes
483;FRA;32;0;9;3;Travel Agent/Operator;Travel Agent/Operator;Yes
484;FRA;32;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
